Approx net worth,Base case net worth,Difference,APPL price,SMA,MACD,EMA_12,EMA_26
102904908.17000009,102904170.0,738.1700000911951,165.06,165.24099999999999,-0.12365974050291584,165.29650858256056,165.42016832306348
102910341.12000008,102909800.0,541.1200000792742,165.38,165.248,-0.10783947571266594,165.30935341601278,165.41719289172545
102910582.12000011,102910050.0,532.1200001090765,165.43,165.282,-0.09022713747856415,165.3279144289339,165.41814156641246
102906816.7900001,102906140.0,676.7900000959635,165.42,165.30399999999997,-0.07619778829254642,165.34208143986714,165.4182792281597
102906383.89000009,102905690.0,693.890000090003,165.28,165.301,-0.07550587325172842,165.33253044911837,165.4080363223701
102912284.4300001,102911830.0,454.4300000965595,165.73,165.331,-0.038205872883537495,165.39367961079247,165.431885483676
102913618.83000012,102913220.0,398.83000011742115,165.79,165.37399999999997,-0.003760506522326068,165.45465197836288,165.4584124848852
102917138.36000012,102916890.0,248.36000011861324,165.85,165.425,0.028055783436144566,165.51547475092244,165.4874189674863
102920117.74000013,102920000.0,117.74000012874603,166.01,165.49899999999997,0.0654268848744266,165.59155555847283,165.5261286735984
102914844.67000014,102914490.0,354.6700001358986,166.01,165.596,0.0939606323274802,165.65593162640008,165.5619709940726
102915016.75000012,102914670.0,346.7500001192093,166.22,165.71200000000005,0.13199749278410877,165.74271137618467,165.61071388340056
102918101.40000013,102917900.0,201.40000012516975,166.56,165.82999999999998,0.18741671402185034,165.86844808754088,165.68103137351903
102907798.2000001,102907100.0,698.2000001072884,166.2,165.907,0.19998258007393588,165.91945607407305,165.71947349399912
102909904.33000013,102909310.0,594.3300001323223,166.41,166.006,0.22430076481478523,165.99492437036952,165.77062360555473
102902136.01000014,102901150.0,986.0100001394749,165.93,166.071,0.20250674129474078,165.98493600569728,165.78242926440254
102903876.34000014,102902980.0,896.3400001376867,166.12,166.10999999999999,0.19828057766744678,166.00571508174386,165.8074345040764
102903315.84000014,102902390.0,925.8400001376867,166.09,166.14,0.19031671069257072,166.0186819922448,165.82836528155224
102906703.77000012,102905960.0,743.770000115037,166.22,166.177,0.19227873274138574,166.04965399343791,165.85737526069653
