Random net worth,Base case net worth,Difference
102929803.11000015,102929960.0,-156.88999985158443
102929364.56000014,102929530.0,-165.43999986350536
102929819.93000014,102929980.0,-160.069999858737
102926273.59000012,102926460.0,-186.40999987721443
102923824.9200001,102924030.0,-205.07999989390373
102922718.34000012,102922930.0,-211.65999987721443
102926098.95000012,102926290.0,-191.04999987781048
102924601.36000012,102924800.0,-198.63999988138676
102923386.2100001,102923600.0,-213.78999990224838
102922828.03000009,102923040.0,-211.96999990940094
102922510.4800001,102922730.0,-219.5199999064207
102922091.03000009,102922310.0,-218.96999990940094
102921513.35000008,102921740.0,-226.6499999165535
102924736.97000007,102924940.0,-203.0299999266863
102927184.69000007,102927380.0,-195.30999992787838
102926067.13000005,102926270.0,-202.86999994516373
102926737.74000005,102926940.0,-202.25999994575977
102925997.09000006,102926200.0,-202.90999993681908
102923580.48000006,102923790.0,-209.51999993622303
102922732.11000007,102922950.0,-217.88999992609024
102920525.39000008,102920750.0,-224.60999992489815
102918686.94000009,102918920.0,-233.05999991297722
102920748.07000008,102920970.0,-221.9299999177456
102922907.03000008,102923120.0,-212.9699999243021
102924394.27000009,102924600.0,-205.72999991476536
102923737.72000009,102923950.0,-212.27999991178513
102922622.11000012,102922840.0,-217.88999988138676
102923001.64000009,102923220.0,-218.359999909997
102924162.58000012,102924380.0,-217.41999988257885
102924244.34000012,102924460.0,-215.65999987721443
102925469.76000012,102925680.0,-210.2399998754263
102927160.33000013,102927360.0,-199.6699998676777
102925898.69000013,102926100.0,-201.30999986827374
102927285.04000013,102927480.0,-194.9599998742342
102926363.65000014,102926560.0,-196.34999985992908
102923427.86000015,102923630.0,-202.13999985158443
102922229.19000013,102922430.0,-200.80999986827374
102923610.37000014,102923810.0,-199.62999986112118
102925330.68000013,102925530.0,-199.31999987363815
102924072.66000012,102924270.0,-197.339999884367
102923242.16000009,102923440.0,-197.8399999141693
102922399.72000009,102922600.0,-200.27999991178513
102922347.5700001,102922550.0,-202.42999990284443
102919495.52000009,102919700.0,-204.47999991476536
102916330.6500001,102916540.0,-209.34999990463257
102915814.78000012,102916020.0,-205.21999987959862
102911938.43000013,102912140.0,-201.56999987363815
102909068.90000014,102909270.0,-201.09999985992908
102908119.22000012,102908320.0,-200.7799998819828
102912587.46000013,102912790.0,-202.53999987244606
102909548.66000013,102909750.0,-201.33999986946583
102904264.83000015,102904470.0,-205.16999985277653
102902861.57000014,102903060.0,-198.42999985814095
102903229.04000013,102903420.0,-190.9599998742342
102905841.01000012,102906030.0,-188.9899998754263
102905270.72000013,102905460.0,-189.27999986708164
102903826.16000012,102904020.0,-193.839999884367
102904577.0700001,102904770.0,-192.92999990284443
102904310.2400001,102904500.0,-189.7599999010563
102902217.2300001,102902400.0,-182.7699999064207
102899173.45000008,102899350.0,-176.54999992251396
102898071.1800001,102898250.0,-178.81999990344048
102896147.70000009,102896320.0,-172.2999999076128
102894130.5600001,102894300.0,-169.4399998933077
102898193.90000013,102898370.0,-176.09999987483025
