Random net worth,Base case net worth,Difference
102907444.76999985,102907340.0,104.76999984681606
102905853.70999986,102905740.0,113.70999985933304
102901230.16999985,102901070.0,160.16999985277653
102903846.01999985,102903710.0,136.01999984681606
102899215.96999985,102899040.0,175.9699998497963
102899260.94999984,102899090.0,170.94999983906746
102903501.15999985,102903370.0,131.1599998474121
102905804.05999987,102905700.0,104.05999986827374
102903859.98999986,102903750.0,109.98999986052513
102903726.76999986,102903610.0,116.76999986171722
102908640.66999985,102908570.0,70.66999985277653
102901398.20999984,102901240.0,158.20999984443188
102901292.18999985,102901130.0,162.1899998486042
102893115.55999987,102892880.0,235.55999986827374
102888958.39999986,102888670.0,288.39999985694885
102891714.55999987,102891450.0,264.55999986827374
102887881.33999987,102887580.0,301.3399998694658
102884491.31999989,102884150.0,341.3199998885393
102877501.5299999,102877100.0,401.52999989688396
102878642.9499999,102878250.0,392.9499998986721
102882816.9199999,102882460.0,356.91999989748
102882482.2499999,102882120.0,362.2499998956919
102887757.95999989,102887430.0,327.95999988913536
102890031.09999987,102889720.0,311.09999987483025
102888582.13999988,102888270.0,312.13999988138676
102887031.50999987,102886700.0,331.50999987125397
102886161.39999989,102885830.0,331.3999998867512
102887910.88999988,102887590.0,320.88999988138676
102891690.8199999,102891380.0,310.8199999034405
102896281.49999988,102896000.0,281.4999998807907
102893411.9999999,102893120.0,291.9999998956919
102889586.0199999,102889270.0,316.0199999064207
102887571.52999993,102887250.0,321.5299999266863
102886504.44999993,102886170.0,334.4499999284744
102881686.03999993,102881330.0,356.0399999320507
102884704.40999994,102884370.0,334.4099999368191
102883164.46999994,102882830.0,334.46999993920326
102880241.97999993,102879900.0,341.9799999296665
102879814.79999992,102879470.0,344.79999992251396
102878545.38999993,102878190.0,355.38999992609024
102876230.9199999,102875840.0,390.91999989748
102880498.4499999,102880140.0,358.4499998986721
102875745.10999988,102875350.0,395.10999988019466
102877747.83999988,102877360.0,387.839999884367
102875844.16999988,102875440.0,404.16999988257885
102876840.92999987,102876450.0,390.9299998730421
102880906.4699999,102880540.0,366.4699998944998
102887973.19999991,102887700.0,273.19999991357327
102884158.74999991,102883850.0,308.74999991059303
102886784.02999991,102886500.0,284.0299999117851
102887818.57999992,102887540.0,278.57999992370605
102894045.49999994,102893810.0,235.49999994039536
102903151.37999994,102903030.0,121.37999993562698
102908791.71999992,102908740.0,51.7199999243021
102903312.59999992,102903180.0,132.59999991953373
102904751.14999992,102904640.0,111.1499999165535
102911008.70999992,102910950.0,58.70999991893768
102911044.28999992,102911000.0,44.289999917149544
102918668.08999991,102918700.0,-31.91000008583069
102916539.9599999,102916560.0,-20.040000095963478
102912444.4499999,102912410.0,34.449999898672104
102908411.2799999,102908320.0,91.27999989688396
102912536.13999991,102912490.0,46.13999991118908
102912536.9199999,102912480.0,56.91999989748001
102919069.36999987,102919100.0,-30.63000012934208
102923724.20999989,102923800.0,-75.79000011086464
102926295.10999988,102926400.0,-104.89000011980534
102921854.03999987,102921900.0,-45.96000012755394
102922933.17999986,102922980.0,-46.820000141859055
102924380.85999987,102924440.0,-59.1400001347065
102924768.98999988,102924850.0,-81.01000012457371
102922301.89999989,102922340.0,-38.100000113248825
102920392.6199999,102920400.0,-7.380000099539757
102921618.48999989,102921640.0,-21.510000109672546
102922514.35999988,102922530.0,-15.640000119805336
102919221.96999991,102919220.0,1.96999990940094
102919643.72999991,102919640.0,3.729999914765358
102922018.8999999,102922020.0,-1.1000000983476639
102920859.9799999,102920860.0,-0.020000100135803223
102917708.17999989,102917690.0,18.179999887943268
102917636.45999987,102917620.0,16.4599998742342
102913061.24999987,102912990.0,71.24999986588955
102912167.98999988,102912090.0,77.98999987542629
102922523.11999987,102922550.0,-26.88000012934208
102922477.04999988,102922500.0,-22.950000122189522
102920837.0999999,102920860.0,-22.90000009536743
102918613.20999987,102918600.0,13.2099998742342
102918650.39999989,102918630.0,20.399999886751175
102915491.7499999,102915440.0,51.74999989569187
102915011.98999989,102914960.0,51.989999890327454
102919397.42999989,102919390.0,7.429999887943268
102919034.63999988,102919030.0,4.639999881386757
102916452.90999988,102916420.0,32.90999987721443
102914259.93999988,102914210.0,49.939999878406525
102907060.32999988,102906930.0,130.32999987900257
102908041.00999989,102907930.0,111.00999988615513
102902427.72999988,102902250.0,177.72999988496304
102907735.9399999,102907620.0,115.93999989330769
102906935.96999988,102906810.0,125.96999987959862
102906187.01999992,102906050.0,137.01999992132187
102901913.19999991,102901730.0,183.19999991357327
102901334.03999992,102901140.0,194.03999991714954
102906035.33999993,102905890.0,145.33999992907047
102911934.38999996,102911840.0,94.38999995589256
102914050.94999996,102913960.0,90.94999995827675
102915849.93999994,102915790.0,59.93999993801117
102916858.37999992,102916810.0,48.37999992072582
102922303.73999994,102922310.0,-6.260000064969063
102926356.4899999,102926400.0,-43.510000094771385
102923481.06999992,102923500.0,-18.930000081658363
102923369.2199999,102923390.0,-20.78000010550022
102921254.5099999,102921260.0,-5.49000009894371
102923163.93999991,102923180.0,-16.060000091791153
102922141.21999991,102922150.0,-8.78000009059906
102921925.27999993,102921930.0,-4.720000073313713
102915927.66999993,102915870.0,57.66999992728233
102914810.61999992,102914750.0,60.619999915361404
102915849.21999992,102915790.0,59.2199999243021
102916662.88999996,102916610.0,52.88999995589256
102918355.07999995,102918330.0,25.079999953508377
102922462.77999994,102922510.0,-47.22000005841255
102922353.89999992,102922380.0,-26.100000083446503
102922348.31999992,102922380.0,-31.680000081658363
102925547.8499999,102925620.0,-72.15000009536743
102929156.9299999,102929260.0,-103.07000009715557
102931538.71999991,102931700.0,-161.28000009059906
102932884.70999993,102933070.0,-185.29000006616116
102931198.96999994,102931370.0,-171.03000006079674
102931052.19999993,102931220.0,-167.80000007152557
102931712.47999993,102931880.0,-167.52000007033348
102932061.50999995,102932240.0,-178.49000005424023
102928542.80999993,102928650.0,-107.19000007212162
102934370.31999993,102934560.0,-189.6800000667572
102931306.33999994,102931460.0,-153.66000005602837
