qLearning net worth,Base case net worth,Difference
102966825.57999997,102967120.0,-294.42000003159046
102962852.41999997,102963140.0,-287.5800000280142
102962433.08999997,102962740.0,-306.91000002622604
102962599.73,102962890.0,-290.2699999958277
102964805.43,102965090.0,-284.56999999284744
102966933.47,102967250.0,-316.5300000011921
102973149.07000001,102973450.0,-300.9299999922514
102971842.44,102972140.0,-297.5600000023842
102973020.94,102973320.0,-299.0600000023842
102972234.04,102972540.0,-305.9599999934435
102973975.17,102974270.0,-294.82999999821186
102971637.84,102971940.0,-302.1599999964237
102976542.11000001,102976840.0,-297.8899999856949
102980481.44000001,102980770.0,-288.559999987483
102979620.51000002,102979910.0,-289.4899999797344
102982969.70000002,102983250.0,-280.2999999821186
102982744.16000003,102983010.0,-265.83999997377396
102980110.26000002,102980380.0,-269.7399999797344
102979443.45000002,102979710.0,-266.5499999821186
102979917.46000002,102980170.0,-252.5399999767542
102978622.64000003,102978890.0,-267.35999996960163
102976743.74000002,102977010.0,-266.2599999755621
102971270.74000001,102971540.0,-269.25999999046326
102971761.14000003,102972020.0,-258.85999996960163
102970780.45000005,102971050.0,-269.5499999523163
102969443.81000005,102969710.0,-266.18999995291233
102969966.24000004,102970240.0,-273.75999996066093
102973026.36000003,102973300.0,-273.6399999707937
102968569.4,102968840.0,-270.59999999403954
102967510.54000002,102967780.0,-269.4599999785423
102967121.24000004,102967370.0,-248.75999996066093
102969820.48000003,102970080.0,-259.51999996602535
102969567.65000002,102969830.0,-262.3499999791384
102969232.43000004,102969510.0,-277.5699999630451
102968722.61000004,102969010.0,-287.38999995589256
102966245.22000004,102966550.0,-304.7799999564886
102967180.78000005,102967480.0,-299.2199999541044
102961367.19000003,102961660.0,-292.80999997258186
102963696.93000004,102963970.0,-273.0699999630451
102964187.32000002,102964460.0,-272.67999997735023
102961074.52000003,102961330.0,-255.47999997437
102964023.11000003,102964290.0,-266.8899999707937
102963628.48000003,102963890.0,-261.51999996602535
102964982.40000002,102965240.0,-257.5999999791384
102963913.95000003,102964160.0,-246.04999996721745
102964667.72000001,102964930.0,-262.27999998629093
102964198.08000003,102964470.0,-271.9199999719858
102961800.41000003,102962080.0,-279.58999997377396
102964253.38000003,102964540.0,-286.61999997496605
102964489.54000002,102964770.0,-280.4599999785423
102964200.15000004,102964470.0,-269.8499999642372
102964724.59000003,102965000.0,-275.4099999666214
102964931.89000003,102965200.0,-268.10999996960163
102963788.13000001,102964050.0,-261.8699999898672
102963066.79,102963300.0,-233.2099999934435
102963655.0,102963880.0,-225.0
102965406.88,102965600.0,-193.12000000476837
102959035.65,102959250.0,-214.34999999403954
102962292.97,102962510.0,-217.0300000011921
102966179.43,102966360.0,-180.56999999284744
102963839.08000001,102964030.0,-190.91999998688698
102962556.13,102962770.0,-213.87000000476837
102965243.53999998,102965460.0,-216.4600000232458
102967456.35999997,102967670.0,-213.64000003039837
102960577.52999997,102960820.0,-242.47000002861023
102961151.61999997,102961410.0,-258.38000002503395
102962617.49999997,102962860.0,-242.50000002980232
102963260.40999997,102963510.0,-249.5900000333786
102960516.85999997,102960780.0,-263.14000003039837
102963650.11999996,102963910.0,-259.8800000399351
102964668.77999996,102964930.0,-261.2200000435114
102963302.44999994,102963570.0,-267.5500000566244
102963455.38999994,102963750.0,-294.6100000590086
102962683.73999994,102962970.0,-286.26000006496906
102962538.37999995,102962830.0,-291.62000004947186
102961576.10999995,102961870.0,-293.89000004529953
102963959.59999996,102964250.0,-290.4000000357628
102961615.10999997,102961910.0,-294.89000003039837
102962642.51999997,102962910.0,-267.48000003397465
102964494.17999999,102964770.0,-275.8200000077486
102970460.88999999,102970730.0,-269.1100000143051
102970190.22,102970440.0,-249.7800000011921
102968903.86999999,102969200.0,-296.1300000101328
102969623.16999999,102969890.0,-266.830000013113
102972305.89999999,102972640.0,-334.1000000089407
102972608.04999998,102972920.0,-311.9500000178814
102974311.71999997,102974610.0,-298.2800000309944
102971166.94999996,102971460.0,-293.05000004172325
102970724.84999995,102971030.0,-305.15000005066395
102970183.91999994,102970530.0,-346.0800000578165
102971606.06999995,102971950.0,-343.93000005185604
102969081.94999993,102969440.0,-358.0500000715256
