AAPL percent,boston humidity,WEN price,microsoft trend,MSFT price,SHAK price,MSFT volume,TSLA percent,AMZN price,apple trend,MCD price,AMZN percent,MCD volume,AAPL volume,SHAK volume,new york city humidity,WEN percent,NFLX percent,MCD percent,FB price,AAPL price,boston temperature,TSLA price,NFLX price,TSLA volume,AMZN volume,amazon trend,FB volume,los angeles temperature,FB percent,SHAK percent,new york city temperature,los angeles humidity,MSFT percent,facebook trend,WEN volume,minutes,NFLX volume
0.0182,47.0,17.03,5.0,105.4,47.45,3798318.0,0.0085,1636.3,16.0,182.37,0.0044,271964.0,9623697.0,77098.0,56.0,0.0047,0.0051,0.0032,140.65,165.43,35.0,361.0,266.48,1124272.0,749423.0,45.0,4039180.0,58.0,0.0235,0.0101,35.0,56.0,0.0055,53.0,223594.0,636,1242079.0
0.0186,47.0,17.04,5.0,105.38,47.45,3845244.0,0.0086,1637.09,16.0,182.46,0.0049,277826.0,9666650.0,77098.0,56.0,0.0041,0.0053,0.0027,140.68,165.36,35.0,361.04,266.54,1133560.0,752204.0,45.0,4059290.0,58.0,0.0237,0.0101,35.0,56.0,0.0053,53.0,228515.0,637,1244930.0
0.0187,47.0,17.0,5.0,105.33,47.45,3872814.0,0.0071,1636.51,16.0,182.41,0.0045,280528.0,9719921.0,77098.0,56.0,0.0064,0.0045,0.003,140.29,165.34,35.0,360.51,266.34,1140580.0,752413.0,45.0,4085968.0,58.0,0.0208,0.0101,35.0,56.0,0.0049,53.0,233215.0,638,1250370.0
0.0191,47.0,17.01,5.0,105.21,47.22,3909673.0,0.0056,1632.02,15.0,182.24,0.0018,282928.0,9752394.0,78098.0,56.0,0.0061,0.0035,0.0039,140.19,165.27,35.0,359.98,266.06,1154757.0,756380.0,46.0,4110032.0,58.0,0.0202,0.0148,35.0,56.0,0.0037,52.0,233815.0,639,1256077.0
0.0205,47.0,16.98,5.0,104.94,47.21,3962608.0,0.0029,1626.25,15.0,182.05,0.0018,286328.0,9829229.0,78298.0,56.0,0.0079,0.0019,0.005,140.06,165.04,35.0,359.0,264.64,1164057.0,762584.0,46.0,4173499.0,58.0,0.0192,0.015,35.0,56.0,0.0011,52.0,236315.0,640,1270622.0
0.0204,47.0,16.99,5.0,104.93,47.21,4001343.0,0.0006,1625.52,16.0,181.9,0.0022,290570.0,9906484.0,78298.0,56.0,0.0073,0.0023,0.0058,139.86,165.06,35.0,358.18,264.52,1174832.0,766291.0,48.0,4216568.0,58.0,0.0178,0.015,35.0,56.0,0.001,53.0,237215.0,641,1286998.0
0.0185,47.0,17.0,5.0,105.05,47.2,4037589.0,0.0019,1629.6,16.0,182.06,0.0003,292170.0,9953903.0,78498.0,56.0,0.0067,0.0019,0.0049,140.24,165.38,35.0,358.64,264.63,1184146.0,773686.0,48.0,4258694.0,58.0,0.0205,0.0152,35.0,56.0,0.0022,53.0,240115.0,642,1292607.0
0.0181,47.0,17.01,5.0,104.95,47.24,4069631.0,0.0008,1630.76,16.0,182.06,0.001,296170.0,9997244.0,79098.0,56.0,0.0061,0.0036,0.0049,140.17,165.43,35.0,358.26,264.17,1193481.0,777086.0,48.0,4282249.0,58.0,0.02,0.0144,35.0,56.0,0.0012,53.0,243142.0,643,1313680.0
0.0182,47.0,17.02,5.0,104.81,47.24,4112195.0,0.0001,1627.55,16.0,181.96,0.001,300330.0,10042715.0,79098.0,56.0,0.0056,0.0041,0.0055,140.11,165.42,35.0,357.99,264.04,1204960.0,781582.0,45.0,4308072.0,58.0,0.0196,0.0144,35.0,56.0,0.0001,51.0,248274.0,644,1331321.0
0.019,47.0,17.0,5.0,104.78,47.14,4152962.0,0.0015,1627.8,16.0,182.02,0.0008,303950.0,10100653.0,81098.0,56.0,0.0067,0.0037,0.0052,140.1,165.28,35.0,357.42,264.15,1213982.0,784147.0,45.0,4337174.0,58.0,0.0195,0.0165,35.0,56.0,0.0004,51.0,250974.0,645,1341605.0
0.0164,47.0,17.03,5.0,104.9,47.07,4215392.0,0.0005,1630.85,16.0,182.24,0.0011,312950.0,10195223.0,84498.0,56.0,0.0047,0.0011,0.0039,140.43,165.73,35.0,358.15,265.43,1234895.0,791745.0,46.0,4386978.0,58.0,0.0219,0.0179,35.0,56.0,0.0008,51.0,257118.0,646,1351221.0
0.016,47.0,17.03,5.0,104.9,47.07,4240105.0,0.0006,1632.76,16.0,182.19,0.0022,316772.0,10243916.0,84498.0,56.0,0.005,0.0009,0.0042,140.4,165.79,35.0,358.17,264.91,1240545.0,797341.0,46.0,4421293.0,58.0,0.0217,0.0179,35.0,56.0,0.0008,51.0,258018.0,647,1359896.0
0.0157,47.0,17.04,5.0,105.13,47.23,4289370.0,0.0023,1634.33,16.0,182.31,0.0032,319782.0,10298357.0,85898.0,56.0,0.0044,0.0022,0.0036,140.49,165.85,35.0,358.78,265.73,1246227.0,803766.0,46.0,4441458.0,58.0,0.0223,0.0146,35.0,56.0,0.0029,51.0,262718.0,648,1369606.0
0.0147,47.0,17.04,5.0,105.17,47.22,4316802.0,0.0021,1636.73,16.0,182.29,0.0047,322942.0,10353454.0,87112.0,56.0,0.0041,0.004,0.0037,140.62,166.01,35.0,358.71,266.21,1258249.0,812036.0,45.0,4458144.0,58.0,0.0233,0.0148,35.0,56.0,0.0033,51.0,267118.0,649,1377200.0
0.0147,47.0,17.02,5.0,105.02,47.22,4380602.0,0.0007,1633.09,16.0,182.18,0.0024,327342.0,10428268.0,87112.0,56.0,0.0053,0.0005,0.0043,140.49,166.01,35.0,358.2,265.26,1261612.0,816518.0,45.0,4486145.0,58.0,0.0223,0.0148,35.0,56.0,0.0019,51.0,273918.0,650,1382075.0
0.0136,47.0,17.02,5.0,104.99,47.22,4412607.0,0.0006,1633.33,16.0,181.99,0.0026,331142.0,10498860.0,87112.0,56.0,0.0056,0.0009,0.0053,140.34,166.22,35.0,358.17,265.39,1264267.0,820168.0,45.0,4498456.0,58.0,0.0213,0.0148,35.0,56.0,0.0016,51.0,277118.0,651,1382700.0
0.0115,47.0,17.0,5.0,105.12,47.17,4461772.0,0.0019,1634.7,16.0,181.94,0.0034,335192.0,10685957.0,87712.0,56.0,0.0064,0.004,0.0056,140.56,166.56,35.0,358.66,266.19,1271517.0,825368.0,47.0,4526628.0,58.0,0.0228,0.0159,35.0,56.0,0.0029,50.0,283600.0,652,1402590.0
0.0136,47.0,16.96,5.0,104.8,47.11,4511242.0,0.0002,1627.27,16.0,181.53,0.0011,340132.0,10759564.0,87912.0,56.0,0.0088,0.0005,0.0078,140.07,166.2,35.0,357.88,265.28,1283529.0,830997.0,47.0,4547204.0,58.0,0.0193,0.0171,35.0,56.0,0.0002,50.0,286909.0,652,1407818.0
0.0123,47.0,16.98,5.0,104.9,46.8,4562509.0,0.0007,1628.54,16.0,181.7,0.0004,343328.0,10807461.0,90362.0,56.0,0.0076,0.0013,0.0069,140.29,166.41,35.0,358.2,265.49,1289759.0,833399.0,47.0,4573705.0,58.0,0.0211,0.0236,35.0,56.0,0.0008,50.0,289209.0,653,1410973.0
0.0153,47.0,16.97,5.0,104.58,47.02,4652936.0,0.0026,1623.43,15.0,181.61,0.0035,346328.0,10872043.0,92762.0,56.0,0.0082,0.0029,0.0074,140.21,165.93,35.0,357.04,264.36,1297072.0,841429.0,46.0,4593330.0,58.0,0.0203,0.019,35.0,56.0,0.0023,50.0,293409.0,654,1416289.0
0.014,47.0,17.0,5.0,104.76,46.98,4717190.0,0.0005,1623.82,15.0,181.79,0.0033,350928.0,10942219.0,93362.0,56.0,0.0064,0.0023,0.0064,140.21,166.12,35.0,357.77,264.53,1311607.0,846909.0,46.0,4621375.0,58.0,0.0203,0.0198,35.0,56.0,0.0006,50.0,296309.0,655,1422695.0
0.0142,47.0,17.0,5.0,104.72,46.97,4761110.0,0.0011,1623.3,15.0,181.92,0.0036,360360.0,10996117.0,93962.0,56.0,0.0064,0.0016,0.0057,140.11,166.09,35.0,357.56,264.72,1315358.0,850051.0,46.0,4639894.0,58.0,0.0196,0.02,35.0,56.0,0.0009,50.0,298909.0,656,1426150.0
0.0135,47.0,17.0,5.0,104.8,47.08,4804798.0,0.0007,1625.88,15.0,182.05,0.002,364654.0,11038329.0,94762.0,56.0,0.0064,0.0003,0.005,140.16,166.22,35.0,357.71,265.06,1326567.0,856713.0,45.0,4654151.0,58.0,0.0199,0.0177,35.0,56.0,0.0002,50.0,303147.0,657,1429152.0
0.0139,47.0,17.0,5.0,104.74,46.91,4836483.0,0.0006,1625.65,15.0,182.08,0.0021,367546.0,11075343.0,95762.0,56.0,0.0064,0.002,0.0048,140.27,166.14,35.0,357.76,264.61,1329167.0,858113.0,45.0,4667750.0,58.0,0.0207,0.0213,35.0,56.0,0.0008,50.0,303247.0,658,1434142.0
0.0159,47.0,16.97,5.0,104.61,46.93,4861862.0,0.0006,1625.04,15.0,181.9,0.0025,373946.0,11113295.0,96562.0,56.0,0.0082,0.002,0.0058,140.27,165.82,35.0,357.77,264.62,1341419.0,860040.0,45.0,4680655.0,58.0,0.0207,0.0209,35.0,56.0,0.0021,50.0,307447.0,659,1436794.0
0.0173,47.0,16.96,5.0,104.57,46.86,4935656.0,0.0018,1624.23,16.0,181.77,0.003,377146.0,11177025.0,96762.0,56.0,0.0088,0.0029,0.0065,140.08,165.57,35.0,357.32,264.37,1347780.0,862764.0,48.0,4710297.0,58.0,0.0194,0.0223,35.0,56.0,0.0024,52.0,310847.0,660,1448056.0
0.0196,47.0,16.94,5.0,104.46,46.93,4972843.0,0.0013,1620.79,16.0,181.5,0.0051,381146.0,11235803.0,97162.0,56.0,0.0102,0.0054,0.008,139.85,165.19,35.0,357.5,263.72,1352802.0,864915.0,48.0,4738211.0,58.0,0.0178,0.0209,35.0,56.0,0.0035,52.0,312547.0,661,1454947.0
0.0204,47.0,16.94,5.0,104.3,46.89,5029578.0,0.003,1618.57,16.0,181.41,0.0065,384946.0,11351296.0,99362.0,56.0,0.0099,0.0066,0.0085,139.62,165.05,35.0,356.91,263.38,1360284.0,874492.0,48.0,4766101.0,58.0,0.016,0.0217,35.0,56.0,0.005,52.0,316047.0,662,1465336.0
0.0213,47.0,16.94,5.0,103.97,46.87,5116762.0,0.0025,1611.64,16.0,180.99,0.0107,397568.0,11480652.0,99762.0,56.0,0.0099,0.0093,0.0108,139.4,164.91,35.0,357.06,262.67,1366331.0,888421.0,50.0,4807734.0,58.0,0.0144,0.022,35.0,56.0,0.0081,50.0,317847.0,663,1481787.0
0.0212,47.0,16.92,5.0,104.04,46.92,5183592.0,0.0043,1612.17,16.0,180.81,0.0104,421218.0,11614099.0,100902.0,56.0,0.0111,0.0104,0.0118,139.31,164.93,35.0,356.41,262.37,1373384.0,895786.0,50.0,4847521.0,58.0,0.0137,0.0211,35.0,56.0,0.0074,50.0,326232.0,664,1499547.0
0.0195,47.0,16.94,5.0,104.2,46.9,5231829.0,0.0044,1617.16,16.0,180.89,0.0074,425404.0,11683163.0,101902.0,56.0,0.0099,0.0091,0.0113,139.57,165.21,35.0,356.4,262.72,1379850.0,901247.0,50.0,4902480.0,58.0,0.0156,0.0215,35.0,56.0,0.0059,50.0,327132.0,665,1514991.0
0.0199,47.0,16.96,5.0,104.24,46.96,5274337.0,0.0032,1618.59,17.0,180.94,0.0065,431382.0,11743812.0,102102.0,56.0,0.0091,0.0081,0.011,139.63,165.13,35.0,356.81,263.0,1388256.0,906245.0,53.0,4927736.0,58.0,0.0161,0.0202,35.0,56.0,0.0055,50.0,328232.0,666,1528823.0
0.0188,47.0,16.97,5.0,104.25,46.96,5312536.0,0.0038,1618.62,17.0,181.07,0.0065,432182.0,11810371.0,102302.0,56.0,0.0082,0.0074,0.0103,139.65,165.33,35.0,356.6,263.18,1406255.0,910666.0,53.0,4949134.0,58.0,0.0162,0.0202,35.0,56.0,0.0054,50.0,330105.0,667,1537998.0
0.0198,47.0,16.98,5.0,104.31,47.09,5329270.0,0.0051,1619.24,17.0,181.2,0.0061,435582.0,11870353.0,103702.0,56.0,0.0079,0.0094,0.0096,139.72,165.16,35.0,356.14,262.65,1428116.0,913501.0,53.0,4988315.0,58.0,0.0167,0.0175,35.0,56.0,0.0049,50.0,330905.0,668,1552464.0
0.0195,47.0,16.97,5.0,104.32,47.2,5370577.0,0.0079,1618.01,17.0,181.13,0.0068,437782.0,11932462.0,103902.0,56.0,0.0082,0.01,0.01,139.71,165.21,35.0,355.15,262.5,1445470.0,916180.0,52.0,5026082.0,58.0,0.0166,0.0153,35.0,56.0,0.0048,52.0,335655.0,669,1571655.0
0.0209,47.0,16.95,5.0,104.2,47.01,5398425.0,0.0083,1615.25,17.0,180.88,0.0085,444494.0,11984881.0,115702.0,56.0,0.0094,0.0127,0.0114,139.52,164.98,35.0,355.0,261.77,1461700.0,919162.0,52.0,5040915.0,58.0,0.0152,0.0192,35.0,56.0,0.0059,52.0,337755.0,670,1585196.0
0.0202,47.0,16.94,5.0,104.25,47.01,5430827.0,0.0084,1615.16,17.0,180.82,0.0086,447294.0,12064001.0,115702.0,56.0,0.0102,0.0122,0.0117,139.49,165.08,35.0,354.95,261.91,1469270.0,922645.0,52.0,5062685.0,58.0,0.0151,0.0192,35.0,56.0,0.0054,52.0,339955.0,671,1595786.0
0.0189,47.0,16.95,5.0,104.34,47.12,5480496.0,0.0081,1616.92,18.0,181.06,0.0075,456694.0,12122769.0,116102.0,56.0,0.0094,0.0083,0.0104,139.8,165.31,35.0,355.07,262.94,1477179.0,926140.0,51.0,5098763.0,58.0,0.0173,0.0169,35.0,56.0,0.0046,51.0,342003.0,672,1612420.0
0.0207,47.0,16.93,5.0,104.11,47.03,5510291.0,0.0083,1615.4,18.0,180.92,0.0084,458514.0,12150826.0,116302.0,56.0,0.0105,0.012,0.0112,139.56,165.0,35.0,355.0,261.96,1488917.0,928886.0,51.0,5137616.0,58.0,0.0155,0.0188,35.0,56.0,0.0068,51.0,344503.0,673,1616260.0
0.0201,47.0,16.9,5.0,104.1,47.14,5545630.0,0.0096,1609.61,18.0,180.93,0.012,465044.0,12195677.0,116502.0,56.0,0.0123,0.0119,0.0111,139.73,165.1,35.0,354.54,261.98,1493900.0,939283.0,51.0,5175016.0,58.0,0.0168,0.0165,35.0,56.0,0.0069,51.0,346294.0,674,1620658.0
0.0186,47.0,16.95,5.0,104.36,47.06,5583091.0,0.0084,1615.5,18.0,181.05,0.0084,475502.0,12242929.0,117302.0,56.0,0.0096,0.0101,0.0105,139.96,165.35,35.0,354.97,262.45,1497717.0,943575.0,50.0,5207027.0,58.0,0.0185,0.0182,35.0,56.0,0.0044,50.0,348594.0,675,1635710.0
0.0193,47.0,16.94,5.0,104.4,47.1,5626840.0,0.0108,1613.55,18.0,181.09,0.0096,477966.0,12296268.0,117502.0,56.0,0.0099,0.0098,0.0102,139.93,165.24,35.0,354.1,262.55,1510246.0,946667.0,50.0,5239712.0,58.0,0.0182,0.0173,35.0,56.0,0.004,50.0,351294.0,676,1649459.0
0.0203,47.0,16.9,5.0,104.31,47.19,5654791.0,0.0127,1611.44,18.0,180.84,0.0109,483196.0,12336184.0,117702.0,56.0,0.0123,0.0112,0.0116,139.88,165.07,35.0,353.41,262.17,1527680.0,949113.0,50.0,5263985.0,58.0,0.0179,0.0154,35.0,56.0,0.0049,50.0,353494.0,677,1659988.0
0.0217,47.0,16.89,5.0,104.13,47.04,5687197.0,0.0119,1607.37,17.0,180.75,0.0134,489850.0,12384592.0,118102.0,56.0,0.0129,0.0116,0.0121,139.76,164.84,35.0,353.7,262.07,1542899.0,954293.0,50.0,5281206.0,58.0,0.017,0.0186,35.0,56.0,0.0066,50.0,355194.0,678,1668520.0
0.0219,47.0,16.88,5.0,104.18,46.95,5708829.0,0.0115,1605.53,17.0,180.64,0.0145,493898.0,12452523.0,120102.0,56.0,0.0134,0.0128,0.0127,139.69,164.78,35.0,353.85,261.76,1551959.0,960429.0,50.0,5299491.0,58.0,0.0165,0.0204,35.0,56.0,0.0061,50.0,356494.0,679,1679303.0
0.0208,47.0,16.91,5.0,104.36,46.95,5747295.0,0.0103,1602.19,17.0,180.78,0.0165,499498.0,12515853.0,120102.0,56.0,0.0117,0.0117,0.0119,139.69,164.97,35.0,354.28,262.03,1555852.0,985689.0,50.0,5328056.0,58.0,0.0165,0.0204,35.0,56.0,0.0044,50.0,357194.0,680,1691160.0
