Random net worth,Base case net worth,Difference
102909411.15000008,102909310.0,101.15000008046627
102901324.62000008,102901150.0,174.62000007927418
102903143.86000007,102902980.0,163.86000007390976
102902560.65000008,102902390.0,170.65000008046627
102906097.05000009,102905960.0,137.05000008642673
102905303.3600001,102905160.0,143.36000010371208
102904082.12000012,102903930.0,152.12000012397766
102901896.19000012,102901730.0,166.1900001168251
102897089.36000012,102896880.0,209.36000011861324
102893315.13000011,102893070.0,245.13000011444092
102884794.01000011,102884450.0,344.01000010967255
102884223.15000011,102883880.0,343.1500001102686
102890253.92000012,102889990.0,263.92000012099743
102892494.19000012,102892260.0,234.1900001168251
102892864.65000011,102892630.0,234.6500001102686
102892724.48000012,102892490.0,234.48000012338161
102890464.46000011,102890200.0,264.4600001126528
102885871.1700001,102885560.0,311.17000010609627
102885920.56000012,102885610.0,310.5600001215935
102889784.90000013,102889510.0,274.90000012516975
102886217.48000015,102885910.0,307.48000015318394
102880429.40000015,102880030.0,399.4000001549721
102887945.54000016,102887650.0,295.5400001555681
102885233.79000016,102884900.0,333.7900001555681
102881586.30000015,102881210.0,376.3000001460314
102876989.95000012,102876550.0,439.9500001221895
102874728.5000001,102874260.0,468.5000001043081
102872669.3000001,102872160.0,509.3000001013279
102874972.73000011,102874490.0,482.73000010848045
102879077.8000001,102878650.0,427.8000001013279
102876100.5700001,102875640.0,460.57000009715557
102869312.8700001,102868780.0,532.8700000941753
102860102.14000009,102859460.0,642.140000090003
102865052.5400001,102864470.0,582.5400000959635
102866650.70000009,102866080.0,570.7000000923872
102866885.4000001,102866320.0,565.4000000953674
102867688.33000009,102867130.0,558.3300000876188
102875408.64000008,102874920.0,488.64000007510185
102878049.67000009,102877590.0,459.6700000911951
102886504.39000008,102886130.0,374.39000007510185
102889503.22000007,102889170.0,333.2200000733137
102888658.23000006,102888320.0,338.23000006377697
102890664.35000007,102890350.0,314.35000006854534
102899160.82000005,102898930.0,230.8200000524521
102898515.56000005,102898270.0,245.56000004708767
102900689.46000005,102900470.0,219.46000005304813
102896758.77000007,102896490.0,268.7700000703335
102893670.11000006,102893360.0,310.1100000590086
102896711.61000006,102896450.0,261.6100000590086
102893966.38000005,102893670.0,296.3800000548363
102899364.33000004,102899130.0,234.33000004291534
102907486.52000004,102907340.0,146.52000004053116
102905900.53000005,102905740.0,160.53000004589558
102901275.16000004,102901070.0,205.1600000411272
102903895.82000004,102903710.0,185.82000003755093
102899272.74000002,102899040.0,232.7400000244379
102899324.60000001,102899090.0,234.6000000089407
102903561.39000002,102903370.0,191.3900000154972
102905861.08000001,102905700.0,161.08000001311302
102903924.73000003,102903750.0,174.73000003397465
102903782.09000002,102903610.0,172.09000001847744
102908691.64000002,102908570.0,121.64000001549721
102901446.01000002,102901240.0,206.01000002026558
102901336.33000003,102901130.0,206.33000002801418
102893173.34000003,102892880.0,293.3400000333786
102889013.61000003,102888670.0,343.6100000292063
